vt_group_no,transaction_id,hotel_id,ticket_id,ticketpriceschedule_id,channel_id,reseller_id,sale_price,Distributor_price,commission
173628100092372,173628100092372001R,5957,13829,454977,665,674,120,90,75
173291456639534,173291456639534032R,722,13928,339737,10,17,150,45,30
173599099827241,173599099827241003R,457,59436,284478,12,15,55,13.75,25
173607821352882,173607821352882001R,2899,13832,339497,262,211,30,7.5,25
173618227315115,173618227315115004R,8423,13928,428463,830,541,165,46.2,28
173621006368426,173621006368426001R,457,13907,428500,12,15,79,23.7,30
173637135329344,173637135329344004R,44063,50601,303546,830,541,51,5.1,10
173662194606495,173662194606495002R,722,15590,428508,10,17,114,34.2,30
172908809021728,172908809021728086R,722,13928,339737,10,17,150,45,30
173573093395371,173573093395371004R,5957,13829,421823,665,674,130,26,20
173626205319922,173626205319922030R,8423,13928,339734,830,541,155,43.4,28
173645126371374,173645126371374001R,457,13907,243143,12,15,79,23.7,30
173682659705530,173682659705530002R,722,13928,339737,10,17,150,45,30
173687874928498,173687874928498002R,722,57039,428560,10,17,194,58.2,30
173696884701466,173696884701466002R,457,15569,428494,12,15,94,28.2,30
173258458908028,173258458908028001R,457,77959,390067,12,15,65,19.5,30
173615781324737,173615781324737004R,7838,14258,437784,830,541,31,3.1,10
173637797662412,173637797662412003R,457,13829,454863,12,15,95,71.25,75
173673975685182,173673975685182001R,44063,15569,428494,830,541,94,28.2,30
171507195609709,171507195609709006R,8984,14456,362998,830,541,85,21.25,25
173572339729669,173572339729669003R,5957,13829,421819,665,674,105,21,20
173581918291461,173581918291461001R,7655,50601,303546,830,541,51,5.1,10
173611908876498,173611908876498007R,44587,13832,428400,830,541,30,7.5,25
173609118407856,173609118407856004R,722,13955,339953,10,17,149,44.7,30
173621636762106,173621636762106020R,457,70893,339825,12,15,90,27,30
173657717755756,173657717755756002R,44587,13928,428463,830,541,165,41.25,25
173669682823487,173669682823487002R,722,15590,428508,10,17,114,34.2,30
173199477481964,173199477481964001R,722,13955,339952,10,17,159,47.7,30
173642521322583,173642521322583003R,6458,61395,441999,830,541,99,22.77,23
173694864426484,173694864426484001R,6257,15599,428517,830,541,119,29.75,25
173555913295647,173555913295647004R,5957,59436,284478,665,674,55,13.75,25
173589961924991,173589961924991005R,45492,13904,428482,830,541,94,23.5,25
173530088793194,173530088793194005R,5957,14453,433496,665,674,82.5,20.63,25.01
173582018556073,173582018556073005R,8423,14153,450862,830,541,29.7,1.49,5.02
173625425719410,173625425719410003R,6929,16040,389628,830,541,30,6,20
173678510037482,173678510037482001R,49055,13997,341177,5021,4341,285,57,20
173688861928485,173688861928485002R,457,14453,433496,12,15,82.5,20.63,25.01
173443367145191,173443367145191002R,722,22578,339551,10,17,89,26.7,30
173649270848330,173649270848330003R,7307,14165,358174,830,541,10,2,20
173678237946411,173678237946411004R,44629,13829,421828,830,541,95,15,15.79
173613513997032,173613513997032038R,722,13928,339735,10,17,145,43.5,30
173642113911974,173642113911974001R,457,59436,284478,12,15,55,13.75,25
173593054429541,173593054429541003R,457,13832,428400,12,15,30,7.5,25
173619206524711,173619206524711002R,457,13961,339964,12,15,159,47.7,30
173199477481964,173199477481964036R,722,13955,339952,10,17,159,47.7,30
173477357380765,173477357380765003R,7130,14159,362454,830,541,17.4,3.48,20
173575633262618,173575633262618001R,818,14165,358177,28,61,22.5,5.63,25.02
173582008055122,173582008055122003R,2899,15569,427017,262,211,94,28.2,30
173619229015255,173619229015255002R,53911,13829,421818,830,541,115,23,20
173013099930643,173013099930643015R,6386,13796,314401,830,541,110,27.5,25
173601514842151,173601514842151010R,722,70893,351001,10,17,95,28.5,30
173599732996791,173599732996791001R,9125,13685,428255,830,541,59,14.75,25
173659749160297,173659749160297016R,8975,14027,429807,830,541,165,41.25,25
173677382488951,173677382488951004R,457,73023,428437,12,15,129,38.7,30
173694864426484,173694864426484002R,6257,15599,428517,830,541,119,29.75,25
173616776340544,173616776340544003R,7220,14159,362455,830,541,17.4,2.61,15
173643733998723,173643733998723004R,8423,22578,339551,830,541,89,24.92,28
173658666163899,173658666163899013R,6458,13829,454965,830,541,140,35,25
173669832026334,173669832026334003R,457,52565,454461,12,15,219,164.25,75
173239976615802,173239976615802001R,9029,13916,339528,830,541,69,17.25,25
173374059055720,173374059055720059R,50604,81787,411066,830,541,100,25,25
173615781324737,173615781324737002R,7838,14258,437784,830,541,31,3.1,10
173616839730867,173616839730867001R,7655,26458,450835,830,541,32,5.76,18
173678610714720,173678610714720001R,8423,13796,428277,830,541,115,32.2,28
173583508711420,173583508711420002R,722,14453,433496,10,17,82.5,18.15,22
173685202594943,173685202594943016R,722,13928,339737,10,17,150,45,30
173692730705613,173692730705613001R,8420,15659,428300,830,541,165,41.25,25
172758990527697,172758990527697001R,818,77621,388247,28,61,49,8.82,18
173400774809065,173400774809065001R,9125,13685,339231,830,541,59,14.75,25
173650306998562,173650306998562001R,8927,13682,206384,830,541,49,12.25,25
173676801094486,173676801094486001R,8423,15569,428491,830,541,99,27.72,28
173683504044011,173683504044011005R,8756,13916,428449,830,541,70,17.5,25
173695459147044,173695459147044004R,14235,61426,415014,830,541,125,25,20
173585885625708,173585885625708002R,5957,13829,421818,665,674,115,23,20
173601486532556,173601486532556004R,6953,50545,303561,830,541,38,3.8,10
173613513997032,173613513997032003R,722,13928,339735,10,17,145,43.5,30
173628196807936,173628196807936001R,818,13829,421820,28,61,45,11.25,25
172859963071426,172859963071426007R,722,13832,339497,10,17,30,7.5,25
172968365595553,172968365595553001R,457,13844,339516,12,15,24,6,25
173109152201301,173109152201301014R,405,13916,339528,30,19,69,17.25,25
173442345137510,173442345137510001R,457,86245,433465,12,15,45,13.5,30
173523878517968,173523878517968010R,457,13994,341218,12,15,229,45.8,20
173619193575952,173619193575952002R,5960,85252,423759,517,541,34,34,100
173674468115353,173674468115353002R,2648,14033,339541,156,114,155,38.75,25
173315583029698,173315583029698004R,8897,79659,398784,830,541,50,50,100
173559420922473,173559420922473006R,49777,14231,366787,830,541,12,1.8,15
173603071131508,173603071131508004R,722,22578,339551,10,17,89,26.7,30
173643791360097,173643791360097001R,51832,22886,428442,5316,1010,129,32.25,25
173687164492644,173687164492644003R,6458,13829,421828,830,541,95,23.75,25
171122878719237,171122878719237002R,722,22886,339228,10,17,122,36.6,30
173551624106845,173551624106845015R,2648,14033,339541,156,114,155,38.75,25
173592588482657,173592588482657002R,5957,13829,421824,665,674,120,24,20
173602191527204,173602191527204001R,722,14162,421043,10,17,13,1.56,12
173616375473025,173616375473025001R,7079,14153,450862,830,541,29.7,1.49,5.02
173625425719410,173625425719410001R,6929,16040,389628,830,541,30,6,20
173672472271324,173672472271324001R,44063,50601,303546,830,541,51,5.1,10
173552098290725,173552098290725005R,722,26683,339521,10,17,45,11.25,25
173663678811198,173663678811198003R,722,13928,339737,10,17,150,45,30
173668006361270,173668006361270004R,5957,59436,284478,665,674,55,13.75,25
173539846980718,173539846980718014R,457,15590,428508,12,15,114,34.2,30
173592588482657,173592588482657003R,5957,13829,421823,665,674,130,26,20
172738985699302,172738985699302036R,722,13928,339737,10,17,150,45,30
173590888396251,173590888396251005R,7145,14159,362454,830,541,17.4,2.61,15
173615613997128,173615613997128002R,5957,13829,421818,665,674,115,23,20
173622891728223,173622891728223001R,49055,13832,339497,5021,4341,30,6,20
173646667532582,173646667532582001R,405,13916,339531,30,19,66,16.5,25
173685773240009,173685773240009003R,2648,13829,421824,156,114,105,15,14.29
173672535055351,173672535055351003R,722,13799,428289,10,17,129,38.7,30
173686462058875,173686462058875004R,45492,40640,413749,830,541,87,21.75,25
172738985699302,172738985699302057R,722,13928,339737,10,17,150,45,30
173617346486713,173617346486713001R,50293,14453,433496,5157,4406,82.5,16.5,20
173634742026848,173634742026848005R,6665,13820,384501,830,541,58,14.5,25
173600982984415,173600982984415017R,6104,57036,339958,830,541,199,49.75,25
173667862488537,173667862488537001R,405,13829,454971,30,19,115,86.25,75
173530088793194,173530088793194002R,5957,14453,433496,665,674,82.5,20.63,25.01
173605463627274,173605463627274001R,457,15605,428535,12,15,130,39,30
173672050033674,173672050033674001R,44587,15599,428517,830,541,119,29.75,25
173671585359590,173671585359590003R,457,13829,454863,12,15,95,71.25,75
173634345443913,173634345443913002R,8423,22578,339549,830,541,99,27.72,28
173607372114596,173607372114596002R,7484,14495,285388,830,541,30,5.4,18
173616351175859,173616351175859004R,51832,61384,428273,5316,1010,129,32.25,25
173672921834607,173672921834607005R,722,13928,339735,10,17,145,43.5,30
173616776340544,173616776340544005R,7220,14159,362456,830,541,27.7,4.16,15.02
173689089354651,173689089354651001R,722,70902,428571,10,17,130,39,30
172883800230990,172883800230990001R,457,13904,339891,12,15,95,28.5,30
173319838772008,173319838772008003R,722,13928,339735,10,17,145,43.5,30
173331488180596,173331488180596002R,49055,13685,339231,5021,4341,59,14.75,25
173616540586465,173616540586465001R,7901,13820,384501,830,541,58,14.5,25
171568170041785,171568170041785007R,8423,13916,339528,830,541,69,19.32,28
173262090008261,173262090008261001R,722,13949,243119,10,17,79,23.7,30
173183667378295,173183667378295016R,8975,14027,339547,830,541,155,38.75,25
173581554263248,173581554263248002R,818,14504,407862,28,61,85,17.85,21
173592822700001,173592822700001002R,5957,13829,421819,665,674,105,21,20
172842604596114,172842604596114002R,27476,13685,339231,1430,1380,59,17.7,30
172856174466202,172856174466202001R,457,13949,428522,12,15,79,23.7,30
173574803927281,173574803927281001R,722,67436,415018,10,17,229,57.25,25
173577193312967,173577193312967001R,722,57039,428560,10,17,194,58.2,30
173628241735436,173628241735436002R,44587,14453,433496,830,541,82.5,18.98,23.01
173323087607374,173323087607374002R,7130,17618,303487,830,541,57,8.55,15
173577658459583,173577658459583001R,44587,85998,427743,830,541,164,41,25
173582887936096,173582887936096007R,6809,14231,366787,830,541,14,1.8,12.86
173637196401843,173637196401843001R,38814,14159,362454,830,541,15.14,0.35,2.31
173641792924442,173641792924442004R,7307,52867,421038,830,541,13,1.3,10
173646031798974,173646031798974001R,44587,23158,428476,830,541,69,17.25,25
173227908662038,173227908662038003R,50697,13805,428900,830,541,30,7.5,25
173576255919023,173576255919023002R,457,67434,415019,12,15,229,57.25,25
173164163079597,173164163079597017R,722,23158,339754,10,17,72,21.6,30
