vt_group_no,transaction_id,hotel_id,hotel_name,reseller_id,reseller_name,ticket_id,ticketpriceschedule_id,version,order_confirm_date,saleprice,purchaseprice,merchantcommission,distributorcommission,hgscommission,salepriceshouldbe,museumfeeshouldbe,merchantfeeshouldbe,hotelfeeshouldbe,hgsfeeshouldbe,modifiedshouldbe,pricinglevel
173728051979915,173728051979915002R,818,Headout,61,Headout,14165,457662,1,2025-01-19 09:55:20,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173726509957503,173726509957503002R,818,Headout,61,Headout,14165,457662,1,2025-01-19 05:38:20,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731028078861,173731028078861004R,818,Headout,61,Headout,14165,457662,1,2025-01-19 18:11:21,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173727853968713,173727853968713001R,818,Headout,61,Headout,14165,457662,1,2025-01-19 09:22:20,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731070931601,173731070931601003R,818,Headout,61,Headout,14165,457662,1,2025-01-19 18:18:30,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173729570432300,173729570432300004R,818,Headout,61,Headout,14165,457662,1,2025-01-19 14:08:25,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731070931601,173731070931601002R,818,Headout,61,Headout,14165,457662,1,2025-01-19 18:18:30,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731028078861,173731028078861003R,818,Headout,61,Headout,14165,457662,1,2025-01-19 18:11:21,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173729546541825,173729546541825002R,818,Headout,61,Headout,14165,457662,1,2025-01-19 14:04:26,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173729570432300,173729570432300002R,818,Headout,61,Headout,14165,457662,1,2025-01-19 14:08:25,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731028078861,173731028078861002R,818,Headout,61,Headout,14165,457662,1,2025-01-19 18:11:21,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731028078861,173731028078861006R,818,Headout,61,Headout,14165,457662,1,2025-01-19 18:11:21,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173729570432300,173729570432300001R,818,Headout,61,Headout,14165,457662,1,2025-01-19 14:08:25,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731028078861,173731028078861001R,818,Headout,61,Headout,14165,457662,1,2025-01-19 18:11:21,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173729570432300,173729570432300003R,818,Headout,61,Headout,14165,457662,1,2025-01-19 14:08:25,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731070931601,173731070931601001R,818,Headout,61,Headout,14165,457662,1,2025-01-19 18:18:30,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173727987779105,173727987779105002R,818,Headout,61,Headout,14165,457662,1,2025-01-19 09:44:38,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173726946243141,173726946243141002R,818,Headout,61,Headout,14165,457662,1,2025-01-19 06:51:03,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
