pt_order_id,vt_order_id,pt_transactionId,vt_transactionId,pt_version,vt_version,ptticketId,vt_ticketId,pt_tpsId,vt_tpsId,pt_actionPerformed,vt_actionPeformed,pt_used,vt_used,pt_redeemDate,vt_redeemDate,pt_refunded,vt_refunded,row_type,status
173322903135537,173322903135537,173322903135537138R,173322903135537138R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,1,0
173322903135537,173322903135537,173322903135537164R,173322903135537164R,6,3,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO, OAPI35_RFN,OAPI35_RFN","0, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,1,1,0
173322903135537,173322903135537,173322903135537145R,173322903135537145R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,4,0
173322903135537,173322903135537,173322903135537157R,173322903135537157R,6,3,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO, OAPI35_RFN,OAPI35_RFN","0, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,1,17,0
173322903135537,173322903135537,173322903135537177R,173322903135537177R,6,3,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO, OAPI35_RFN,OAPI35_RFN","0, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,1,17,0
173322903135537,173322903135537,173322903135537169R,173322903135537169R,6,3,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO, OAPI35_RFN,OAPI35_RFN","0, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,1,2,0
173322903135537,173322903135537,173322903135537181R,173322903135537181R,6,3,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO, OAPI35_RFN,OAPI35_RFN","0, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,1,1,0
173322903135537,173322903135537,173322903135537179R,173322903135537179R,6,3,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO, OAPI35_RFN,OAPI35_RFN","0, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,1,3,0
173322903135537,173322903135537,173322903135537028R,173322903135537028R,5,2,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO,OAPI35_RFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,4,0
173322903135537,173322903135537,173322903135537170R,173322903135537170R,6,3,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO, OAPI35_RFN,OAPI35_RFN","0, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,1,4,0
173322903135537,173322903135537,173322903135537030R,173322903135537030R,5,2,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO,OAPI35_RFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,17,0
173322903135537,173322903135537,173322903135537139R,173322903135537139R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,3,0
173322903135537,173322903135537,173322903135537139R,173322903135537139R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,1,0
173322903135537,173322903135537,173322903135537121R,173322903135537121R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,4,0
173322903135537,173322903135537,173322903135537139R,173322903135537139R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,17,0
173322903135537,173322903135537,173322903135537118R,173322903135537118R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,4,0
173322903135537,173322903135537,173322903135537156R,173322903135537156R,6,3,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO, OAPI35_RFN,OAPI35_RFN","0, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,1,4,0
173322903135537,173322903135537,173322903135537034R,173322903135537034R,5,2,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO,OAPI35_RFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,4,0
173322903135537,173322903135537,173322903135537160R,173322903135537160R,6,3,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO, OAPI35_RFN,OAPI35_RFN","0, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,1,3,0
