vt_group_no,transaction_id,order_confirm_date,distributorcommission,hotelfeeshouldbe,hotel_id,ticket_id,ticketpriceschedule_id,channel_id,reseller_id,status
173150405381311,173150405381311005R,2025-01-06,0,111,5963,13829,421818,517,541,0
172965746739649,172965746739649001R,2025-01-03,0,111,5960,13829,421818,517,541,0
173686633581038,173686633581038001R,2025-01-17,0,111,5960,13829,421818,517,541,0
173676981615092,173676981615092002R,2025-01-27,0,111,5960,13829,421818,517,541,0
173667139864346,173667139864346001R,2025-01-17,0,111,5960,13829,421818,517,541,0
173021089973995,173021089973995001R,2025-01-04,0,111,5960,13829,421818,517,541,0
173391002035512,173391002035512078R,2025-01-18,0,111,5963,13829,421818,517,541,0
172977106391680,172977106391680014R,2025-01-03,0,111,5963,13829,421818,517,541,0
173020674490033,173020674490033017R,2025-01-05,0,111,5960,13829,421818,517,541,0
173151311685541,173151311685541003R,2025-01-07,0,111,8942,13829,421818,517,541,0
172950020195540,172950020195540028R,2025-01-03,0,111,5960,13829,421818,517,541,0
173389321163749,173389321163749020R,2025-01-19,0,111,5960,13829,421818,517,541,0
173590569491988,173590569491988003R,2025-01-18,0,111,5960,13829,421818,517,541,0
173150405381311,173150405381311004R,2025-01-06,0,111,5963,13829,421818,517,541,0
173625726686325,173625726686325002R,2025-01-10,0,111,5960,13829,421818,517,541,0
173607803087711,173607803087711001R,2025-01-07,0,111,5960,13829,421818,517,541,0
173561942088638,173561942088638001R,2025-01-19,0,111,5960,13829,421818,517,541,0
173409390818677,173409390818677002R,2025-01-25,0,111,5960,13829,421818,517,541,0
172841621389963,172841621389963001R,2025-01-01,0,111,5960,13829,421818,517,541,0
173213017926790,173213017926790001R,2025-01-05,0,111,5960,13829,421818,517,541,0
173593156164727,173593156164727001R,2025-01-06,0,111,5960,13829,421818,517,541,0
173533704273054,173533704273054001R,2025-01-28,0,111,5960,13829,421818,517,541,0
173020674490033,173020674490033011R,2025-01-05,0,111,5960,13829,421818,517,541,0
172977106391680,172977106391680016R,2025-01-03,0,111,5963,13829,421818,517,541,0
173676981615092,173676981615092007R,2025-01-27,0,111,5960,13829,421818,517,541,0
173727769492213,173727769492213004R,2025-01-26,0,111,5960,13829,421818,517,541,0
173658008153349,173658008153349001R,2025-01-12,0,111,5960,13829,421818,517,541,0
173583093587683,173583093587683001R,2025-01-19,0,111,5960,13829,421818,517,541,0
173150405381311,173150405381311003R,2025-01-06,0,111,5963,13829,421818,517,541,0
173728123904838,173728123904838001R,2025-01-27,0,111,5960,13829,421818,517,541,0
173545060652460,173545060652460001R,2025-01-07,0,111,5960,13829,421818,517,541,0
173724005948106,173724005948106001R,2025-01-27,0,111,5960,13829,421818,517,541,0
173634594825840,173634594825840014R,2025-01-13,0,111,5960,13829,421818,517,541,0
173333695026582,173333695026582007R,2025-01-04,0,111,5960,13829,421818,517,541,0
173020674490033,173020674490033018R,2025-01-05,0,111,5960,13829,421818,517,541,0
172969333780561,172969333780561106R,2025-01-05,0,111,5963,13829,421818,517,541,0
173621153789239,173621153789239002R,2025-01-12,0,111,5960,13829,421818,517,541,0
172993145975715,172993145975715001R,2025-01-04,0,111,5960,13829,421818,517,541,0
172993145975715,172993145975715013R,2025-01-04,0,111,5960,13829,421818,517,541,0
172977106391680,172977106391680015R,2025-01-03,0,111,5963,13829,421818,517,541,0
173583093587683,173583093587683002R,2025-01-19,0,111,5960,13829,421818,517,541,0
173695353356908,173695353356908003R,2025-01-27,0,111,5960,13829,421818,517,541,0
173626564880808,173626564880808002R,2025-01-13,0,111,5960,13829,421818,517,541,0
173150405381311,173150405381311016R,2025-01-06,0,111,5963,13829,421818,517,541,0
172978968779669,172978968779669004R,2025-01-04,0,111,5960,13829,421818,517,541,0
173506293177652,173506293177652001R,2025-01-07,0,111,5960,13829,421818,517,541,0
172958707594171,172958707594171001R,2025-01-03,0,111,5960,13829,421818,517,541,0
173368070344718,173368070344718002R,2025-01-19,0,111,5960,13829,421818,517,541,0
173757754562944,173757754562944001R,2025-01-27,0,111,5960,13829,421818,517,541,0
173389321163749,173389321163749004R,2025-01-25,0,111,5960,13829,421818,517,541,0
173129215527494,173129215527494001R,2025-01-02,0,111,5960,13829,421818,517,541,0
172969333780561,172969333780561091R,2025-01-05,0,111,5963,13829,421818,517,541,0
173332662455672,173332662455672004R,2025-01-04,0,111,5963,13829,421818,517,541,0
173389321163749,173389321163749033R,2025-01-25,0,111,5960,13829,421818,517,541,0
173666014378134,173666014378134002R,2025-01-17,0,111,5960,13829,421818,517,541,0
173626564880808,173626564880808001R,2025-01-13,0,111,5960,13829,421818,517,541,0
172969333780561,172969333780561005R,2025-01-05,0,111,5963,13829,421818,517,541,0
173667474513569,173667474513569002R,2025-01-26,0,111,5960,13829,421818,517,541,0
173596979740783,173596979740783001R,2025-01-26,0,111,5960,13829,421818,517,541,0
173047052661449,173047052661449002R,2025-01-12,0,111,5960,13829,421818,517,541,0
173279435141652,173279435141652001R,2025-01-18,0,111,5960,13829,421818,517,541,0
173523836251923,173523836251923001R,2025-01-19,0,111,5960,13829,421818,517,541,0
173620051809096,173620051809096003R,2025-01-10,0,111,5960,13829,421818,517,541,0
173732172533444,173732172533444001R,2025-01-27,0,111,5960,13829,421818,517,541,0
173559705685372,173559705685372002R,2025-01-17,0,111,5960,13829,421818,517,541,0
173220091444262,173220091444262001R,2025-01-11,0,111,5960,13829,421818,517,541,0
173486928216006,173486928216006001R,2025-01-05,0,111,5960,13829,421818,517,541,0
173150405381311,173150405381311021R,2025-01-06,0,111,5963,13829,421818,517,541,0
173634594825840,173634594825840002R,2025-01-13,0,111,5960,13829,421818,517,541,0
173584856359526,173584856359526001R,2025-01-08,0,111,5960,13829,421818,517,541,0
173620051809096,173620051809096001R,2025-01-10,0,111,5960,13829,421818,517,541,0
